Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/7cb"]. (STD_EXCEPTION)
(query: SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM hits;)
3,2,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/7cb"]. (STD_EXCEPTION)
(query: SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM hits;)
3,3,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/7cb"]. (STD_EXCEPTION)
(query: SELECT SUM(AdvEngineID), COUNT(*), AVG(ResolutionWidth) FROM hits;)
4,1,0.011
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b30"]. (STD_EXCEPTION)
(query: SELECT AVG(UserID) FROM hits;)
4,2,0.004
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b30"]. (STD_EXCEPTION)
(query: SELECT AVG(UserID) FROM hits;)
4,3,0.004
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b30"]. (STD_EXCEPTION)
(query: SELECT AVG(UserID) FROM hits;)
5,1,0.011
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b30"]. (STD_EXCEPTION)
(query: SELECT COUNT(DISTINCT UserID) FROM hits;)
5,2,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b30"]. (STD_EXCEPTION)
(query: SELECT COUNT(DISTINCT UserID) FROM hits;)
5,3,0.004
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/b30"]. (STD_EXCEPTION)
(query: SELECT COUNT(DISTINCT UserID) FROM hits;)
6,1,0.010
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/4ad"]. (STD_EXCEPTION)
(query: SELECT COUNT(DISTINCT SearchPhrase) FROM hits;)
6,2,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/4ad"]. (STD_EXCEPTION)
(query: SELECT COUNT(DISTINCT SearchPhrase) FROM hits;)
6,3,0.005
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/4ad"]. (STD_EXCEPTION)
(query: SELECT COUNT(DISTINCT SearchPhrase) FROM hits;)
7,1,0.011
Received exception from server (version 22.10.1):
Code: 1001. DB::Exception: Received from localhost:9000. DB::Exception: std::__1::__fs::filesystem::filesystem_error: filesystem error: in create_directories: Permission denied ["/mnt/nvme/ck-cache/4ac"]. (STD_EXCEPTION)
(query: SELECT MIN(EventDate), MAX(EventDate) FROM hits;)
7,2,0.005
Received exception from server (version 22.10.1):
